,Batch,Target,Project,fb-193-tk-010-oe-2022,fb-193-tk-010-oe-2022-reordered,fb-195-tk-013-oe-2022-interchange-replace-cache,fb-195-tk-013-oe-2022-interchange-replace-cache-switching,fb-196-ic-0318-oe-2022,fb-196-ic-0318-oe-2022-crit
0,opt-geo-batch-108,19095393-10,001_fit-all,85.713,85.713,85.713,85.713,46.043,85.713
1,opt-geo-batch-108,19095393-10,002_fit-opt,85.713,85.713,85.713,85.713,46.043,
2,opt-geo-batch-108,19095393-10,111_opt-geo-batch-108,85.713,85.713,85.713,,46.043,
3,opt-geo-batch-109,19095414-4,001_fit-all,973.288,678.567,678.565,678.565,678.593,678.565
4,opt-geo-batch-109,19095414-4,002_fit-opt,973.288,678.567,678.565,678.565,678.593,
5,opt-geo-batch-109,19095414-4,112_opt-geo-batch-109,973.288,678.567,678.565,,678.593,
6,opt-geo-batch-113,19095588-8,001_fit-all,800.755,488.803,488.803,488.803,488.806,488.803
7,opt-geo-batch-113,19095588-8,002_fit-opt,800.755,488.803,488.803,488.803,488.806,
8,opt-geo-batch-113,19095588-8,116_opt-geo-batch-113,800.755,488.803,488.803,,488.806,
9,opt-geo-batch-115,19095648-2,001_fit-all,241.176,592.293,241.176,241.176,241.209,241.176
10,opt-geo-batch-115,19095648-2,002_fit-opt,241.176,592.293,241.176,241.176,241.209,
11,opt-geo-batch-115,19095648-2,118_opt-geo-batch-115,241.176,592.293,241.176,,241.209,
12,opt-geo-batch-123,19095890-3,001_fit-all,432.754,859.172,424.808,424.808,424.811,424.808
13,opt-geo-batch-123,19095890-3,002_fit-opt,432.754,859.172,424.808,424.808,424.811,
14,opt-geo-batch-123,19095890-3,126_opt-geo-batch-123,432.754,859.172,424.808,,424.811,
15,opt-geo-batch-125,19095964-29,001_fit-all,557.615,557.896,557.836,557.836,527.51,557.836
16,opt-geo-batch-125,19095964-29,002_fit-opt,557.615,557.896,557.836,557.836,527.51,
17,opt-geo-batch-125,19095964-29,128_opt-geo-batch-125,557.615,557.896,557.836,,527.51,
18,opt-geo-batch-127,95602811-22,001_fit-all,828.404,371.009,828.402,828.402,828.471,828.402
19,opt-geo-batch-127,95602811-22,002_fit-opt,828.404,371.009,828.402,828.402,828.471,
20,opt-geo-batch-127,95602811-22,130_opt-geo-batch-127,828.404,371.009,828.402,,828.471,
21,opt-geo-batch-131,95602486-3,001_fit-all,169.287,395.607,169.287,169.287,169.288,169.287
22,opt-geo-batch-131,95602486-3,002_fit-opt,169.287,395.607,169.287,169.287,169.288,
23,opt-geo-batch-131,95602486-3,134_opt-geo-batch-131,169.287,395.607,169.287,,169.288,
24,opt-geo-batch-132,110312272-7,001_fit-all,44.947,44.947,44.947,44.947,19.051,44.947
25,opt-geo-batch-132,110312272-7,002_fit-opt,44.947,44.947,44.947,44.947,19.051,
26,opt-geo-batch-132,110312272-7,135_opt-geo-batch-132,44.947,44.947,44.947,,19.051,
27,opt-geo-batch-132,110312279-12,001_fit-all,19.782,19.782,19.782,19.782,11.507,19.782
28,opt-geo-batch-132,110312279-12,002_fit-opt,19.782,19.782,19.782,19.782,11.507,
29,opt-geo-batch-132,110312279-12,135_opt-geo-batch-132,19.782,19.782,19.782,,11.507,
30,opt-geo-batch-134,110312364-2,001_fit-all,35.291,35.291,35.291,35.291,24.732,35.291
31,opt-geo-batch-134,110312364-2,002_fit-opt,35.291,35.291,35.291,35.291,24.732,
32,opt-geo-batch-134,110312364-2,137_opt-geo-batch-134,35.291,35.291,35.291,,24.732,
33,opt-geo-batch-134,110312437-22,001_fit-all,536.681,831.782,536.684,536.684,541.105,536.684
34,opt-geo-batch-134,110312437-22,002_fit-opt,536.681,831.782,536.684,536.684,541.105,
35,opt-geo-batch-134,110312437-22,137_opt-geo-batch-134,536.681,831.782,536.684,,541.105,
36,opt-geo-batch-136,110312530-8,001_fit-all,796.962,1886.145,1886.142,1886.142,1885.838,1886.142
37,opt-geo-batch-136,110312530-8,002_fit-opt,796.962,1886.145,1886.142,1886.142,1885.838,
38,opt-geo-batch-136,110312530-8,139_opt-geo-batch-136,796.962,1886.145,1886.142,,1885.838,
39,opt-geo-batch-142,1760118-25,001_fit-all,32.291,32.291,32.291,32.291,5.104,32.291
40,opt-geo-batch-142,1760118-25,002_fit-opt,32.291,32.291,32.291,32.291,5.104,
41,opt-geo-batch-142,1760118-25,145_opt-geo-batch-142,32.291,32.291,32.291,,5.104,
42,opt-geo-batch-142,1760122-29,001_fit-all,37.563,37.565,37.563,37.563,10.582,37.563
43,opt-geo-batch-142,1760122-29,002_fit-opt,37.563,37.565,37.563,37.563,10.582,
44,opt-geo-batch-142,1760122-29,145_opt-geo-batch-142,37.563,37.565,37.563,,10.582,
45,opt-geo-batch-158,1760623-13,001_fit-all,52.588,52.588,52.588,52.588,10.515,52.588
46,opt-geo-batch-158,1760623-13,002_fit-opt,52.588,52.588,52.588,52.588,10.515,
47,opt-geo-batch-158,1760623-13,161_opt-geo-batch-158,52.588,52.588,52.588,,10.515,
48,opt-geo-batch-160,1760689-13,001_fit-all,10.233,10.233,10.233,10.233,2.921,10.233
49,opt-geo-batch-160,1760689-13,002_fit-opt,10.233,10.233,10.233,10.233,2.921,
50,opt-geo-batch-160,1760689-13,163_opt-geo-batch-160,10.233,10.233,10.233,,2.921,
51,opt-geo-batch-162,1760764-24,001_fit-all,14.742,14.742,14.742,14.742,6.441,14.742
52,opt-geo-batch-162,1760764-24,002_fit-opt,14.742,14.742,14.742,14.742,6.441,
53,opt-geo-batch-162,1760764-24,165_opt-geo-batch-162,14.742,14.742,14.742,,6.441,
54,opt-geo-batch-162,1760765-26,001_fit-all,16.341,16.341,16.341,16.341,4.872,16.341
55,opt-geo-batch-162,1760765-26,002_fit-opt,16.341,16.341,16.341,16.341,4.872,
56,opt-geo-batch-162,1760765-26,165_opt-geo-batch-162,16.341,16.341,16.341,,4.872,
57,opt-geo-batch-165,1760859-25,001_fit-all,184.378,184.378,184.378,184.378,8.331,184.378
58,opt-geo-batch-165,1760859-25,002_fit-opt,184.378,184.378,184.378,184.378,8.331,
59,opt-geo-batch-165,1760859-25,168_opt-geo-batch-165,184.378,184.378,184.378,,8.331,
60,opt-geo-batch-166,1760895-28,001_fit-all,16.898,16.898,16.898,16.898,5.847,16.898
61,opt-geo-batch-166,1760895-28,002_fit-opt,16.898,16.898,16.898,16.898,5.847,
62,opt-geo-batch-166,1760895-28,169_opt-geo-batch-166,16.898,16.898,16.898,,5.847,
63,opt-geo-batch-181,36784452-26,001_fit-all,85.997,85.997,85.997,85.997,43.28,85.997
64,opt-geo-batch-181,36784452-26,002_fit-opt,85.997,85.997,85.997,85.997,43.28,
65,opt-geo-batch-181,36784452-26,184_opt-geo-batch-181,85.997,85.997,85.997,,43.28,
66,opt-geo-batch-19,18434757-17,001_fit-all,1352.305,2589.068,1744.044,1744.044,1743.914,1744.044
67,opt-geo-batch-19,18434757-17,002_fit-opt,1352.305,2589.068,1744.044,1744.044,1743.914,
68,opt-geo-batch-19,18434757-17,022_opt-geo-batch-19,1352.305,2589.068,1744.044,,1743.914,
69,opt-geo-batch-20,18434815-6,001_fit-all,83.565,83.565,126.754,126.754,126.789,126.754
70,opt-geo-batch-20,18434815-6,002_fit-opt,83.565,83.565,126.754,126.754,126.789,
71,opt-geo-batch-20,18434815-6,023_opt-geo-batch-20,83.565,83.565,126.754,,126.789,
72,opt-geo-batch-20,18434816-9,001_fit-all,71.022,71.022,169.281,169.281,169.253,169.281
73,opt-geo-batch-20,18434816-9,002_fit-opt,71.022,71.022,169.281,169.281,169.253,
74,opt-geo-batch-20,18434816-9,023_opt-geo-batch-20,71.022,71.022,169.281,,169.253,
75,opt-geo-batch-21,18434921-7,001_fit-all,1805.074,1389.509,1805.075,1805.075,1805.138,1805.075
76,opt-geo-batch-21,18434921-7,002_fit-opt,1805.074,1389.509,1805.075,1805.075,1805.138,
77,opt-geo-batch-21,18434921-7,024_opt-geo-batch-21,1805.074,1389.509,1805.075,,1805.138,
78,opt-geo-batch-28,18435721-28,001_fit-all,333.911,333.91,333.91,333.91,320.96,333.91
79,opt-geo-batch-28,18435721-28,002_fit-opt,333.911,333.91,333.91,333.91,320.96,
80,opt-geo-batch-28,18435721-28,031_opt-geo-batch-28,333.911,333.91,333.91,,320.96,
81,opt-geo-batch-36,18436551-7,001_fit-all,20.981,20.981,20.981,20.981,9.047,20.981
82,opt-geo-batch-36,18436551-7,002_fit-opt,20.981,20.981,20.981,20.981,9.047,
83,opt-geo-batch-36,18436551-7,039_opt-geo-batch-36,20.981,20.981,20.981,,9.047,
84,opt-geo-batch-48,18437974-17,001_fit-all,2097.572,442.1,442.121,442.121,441.091,442.121
85,opt-geo-batch-48,18437974-17,002_fit-opt,2097.572,442.1,442.121,442.121,441.091,
86,opt-geo-batch-48,18437974-17,051_opt-geo-batch-48,2097.572,442.1,442.121,,441.091,
87,opt-geo-batch-5,18433236-22,001_fit-all,654.976,819.474,654.976,654.976,654.977,654.976
88,opt-geo-batch-5,18433236-22,002_fit-opt,654.976,819.474,654.976,654.976,654.977,
89,opt-geo-batch-5,18433236-22,008_opt-geo-batch-5,654.976,819.474,654.976,,654.977,
90,opt-geo-batch-51,18438135-12,001_fit-all,794.575,1409.209,794.575,794.575,794.554,794.575
91,opt-geo-batch-51,18438135-12,002_fit-opt,794.575,1409.209,794.575,794.575,794.554,
92,opt-geo-batch-51,18438135-12,054_opt-geo-batch-51,794.575,1409.209,794.575,,794.554,
93,opt-geo-batch-51,18438149-18,001_fit-all,100.882,108.452,100.882,100.882,100.882,100.882
94,opt-geo-batch-51,18438149-18,002_fit-opt,100.882,108.452,100.882,100.882,100.882,
95,opt-geo-batch-51,18438149-18,054_opt-geo-batch-51,100.882,108.452,100.882,,100.882,
96,opt-geo-batch-58,18438954-4,001_fit-all,661.058,661.059,661.06,661.06,9.408,661.06
97,opt-geo-batch-58,18438954-4,002_fit-opt,661.058,661.059,661.06,661.06,9.408,
98,opt-geo-batch-58,18438954-4,061_opt-geo-batch-58,661.058,661.059,661.06,,9.408,
99,opt-geo-batch-64,18439704-15,001_fit-all,17.706,17.706,17.706,17.706,7.98,17.706
100,opt-geo-batch-64,18439704-15,002_fit-opt,17.706,17.706,17.706,17.706,7.98,
101,opt-geo-batch-64,18439704-15,067_opt-geo-batch-64,17.706,17.706,17.706,,7.98,
102,opt-geo-batch-71,19094129-20,001_fit-all,470.715,470.715,117.418,117.418,117.415,117.418
103,opt-geo-batch-71,19094129-20,002_fit-opt,470.715,470.715,117.418,117.418,117.415,
104,opt-geo-batch-71,19094129-20,074_opt-geo-batch-71,470.715,470.715,117.418,,117.415,
105,opt-geo-batch-75,19094250-10,001_fit-all,480.939,150.779,480.94,480.94,480.97,480.94
106,opt-geo-batch-75,19094250-10,002_fit-opt,480.939,150.779,480.94,480.94,480.97,
107,opt-geo-batch-75,19094250-10,078_opt-geo-batch-75,480.939,150.779,480.94,,480.97,
108,opt-geo-batch-78,19094395-8,001_fit-all,327.768,327.768,862.083,862.083,862.083,862.083
109,opt-geo-batch-78,19094395-8,002_fit-opt,327.768,327.768,862.083,862.083,862.083,
110,opt-geo-batch-78,19094395-8,081_opt-geo-batch-78,327.768,327.768,862.083,,862.083,
111,opt-geo-batch-79,19094430-15,001_fit-all,119.851,119.701,120.066,120.066,101.136,120.066
112,opt-geo-batch-79,19094430-15,002_fit-opt,119.851,119.701,120.066,120.066,101.136,
113,opt-geo-batch-79,19094430-15,082_opt-geo-batch-79,119.851,119.701,120.066,,101.136,
114,opt-geo-batch-79,19094441-17,001_fit-all,84.345,84.096,84.232,84.232,69.599,84.232
115,opt-geo-batch-79,19094441-17,002_fit-opt,84.345,84.096,84.232,84.232,69.599,
116,opt-geo-batch-79,19094441-17,082_opt-geo-batch-79,84.345,84.096,84.232,,69.599,
117,opt-geo-batch-83,19094564-15,001_fit-all,662.573,411.628,411.628,411.628,411.699,411.628
118,opt-geo-batch-83,19094564-15,002_fit-opt,662.573,411.628,411.628,411.628,411.699,
119,opt-geo-batch-83,19094564-15,086_opt-geo-batch-83,662.573,411.628,411.628,,411.699,
120,opt-geo-batch-83,95602606-12,001_fit-all,352.848,609.252,609.256,609.256,609.277,609.256
121,opt-geo-batch-83,95602606-12,002_fit-opt,352.848,609.252,609.256,609.256,609.277,
122,opt-geo-batch-83,95602606-12,086_opt-geo-batch-83,352.848,609.252,609.256,,609.277,
123,opt-geo-batch-91,19094843-7,001_fit-all,523.362,1019.271,523.364,523.364,523.564,523.364
124,opt-geo-batch-91,19094843-7,002_fit-opt,523.362,1019.271,523.364,523.364,523.564,
125,opt-geo-batch-91,19094843-7,094_opt-geo-batch-91,523.362,1019.271,523.364,,523.564,
126,opt-geo-batch-96,19095011-20,001_fit-all,1561.274,2592.095,1561.278,1561.278,1561.667,1561.278
127,opt-geo-batch-96,19095011-20,002_fit-opt,1561.274,2592.095,1561.278,1561.278,1561.667,
128,opt-geo-batch-96,19095011-20,099_opt-geo-batch-96,1561.274,2592.095,1561.278,,1561.667,
129,opt-geo-batch-96,19095014-23,001_fit-all,239.718,1177.13,239.723,239.723,239.679,239.723
130,opt-geo-batch-96,19095014-23,002_fit-opt,239.718,1177.13,239.723,239.723,239.679,
131,opt-geo-batch-96,19095014-23,099_opt-geo-batch-96,239.718,1177.13,239.723,,239.679,
